## Master file format version 1.0           2001.08.21 CCT&NRV

                    2005 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - May 22, 2007 - CCT


  SESSION      SESSION DATE  DOY TIME DUR        STATIONS      
   SKED CORR STATUS  PF  DBC SUBM DEL  MK4
    NAME        CODE   mondd ddd hh:mm hr                                                      yymondd     CODE     days NUM
------------------------------------------------------------------------------------------------------------------------------
|IN105-182     |I05182|JUL01|182|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-183     |K05183|JUL02|183|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-184     |K05184|JUL03|184|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-186     |I05186|JUL05|186|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-187     |I05187|JUL06|187|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-188     |I05188|JUL07|188|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-189     |I05189|JUL08|189|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-190     |K05190|JUL09|190|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-191     |K05191|JUL10|191|07:30|1  |OnTsWz                                   |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-192     |I05192|JUL11|192|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-193     |I05193|JUL12|193|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-194     |I05194|JUL13|194|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-195     |I05195|JUL14|195|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-196     |I05196|JUL15|196|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-197     |K05197|JUL16|197|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-198     |K05198|JUL17|198|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-199     |I05199|JUL18|199|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-201     |I05201|JUL20|201|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-202     |A05202|JUL21|202|18:30|1  |KkSv                                     |USNO|WASH|       |    |XT|NASA|   0|    |
|IN105-202     |I05202|JUL21|202|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-203     |I05203|JUL22|203|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-204     |K05204|JUL23|204|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-205     |K05205|JUL24|205|07:30|1  |OnTs                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-206     |I05206|JUL25|206|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-207     |I05207|JUL26|207|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-208     |I05208|JUL27|208|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-209     |I05209|JUL28|209|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-210     |I05210|JUL29|210|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-211     |K05211|JUL30|211|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-212     |K05212|JUL31|212|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
------------------------------------------------------------------------------------------------------------------
|IN105-213     |I05213|AUG01|213|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-214     |I05214|AUG02|214|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-215     |I05215|AUG03|215|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-216     |A05216|AUG04|216|18:30|1  |KkSv                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-216     |I05216|AUG04|216|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-217     |I05217|AUG05|217|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-218     |K05218|AUG06|218|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-219     |K05219|AUG07|219|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-220     |I05220|AUG08|220|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-221     |I05221|AUG09|221|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-222     |I05222|AUG10|222|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-223     |I05223|AUG11|223|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-224     |I05224|AUG12|224|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-225     |K05225|AUG13|225|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-226     |K05226|AUG14|226|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
