## Master file format version 1.0           2001.08.21 CCT&NRV

                         1997 MULTI-AGENCY SCHEDULE

                     Last Updated - December 27, 2007 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|VLBA4     |RDV04 |JUL24|205|20:00|24|GcGgGnKkMcOnVaWf             |NASA|VLBA|       |    | XA |NASA|     |    |
|NEOS-A222 |NA222 |JUL29|210|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A015 |CA015 |JUL29|210|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|CORE-B204 |CB204 |AUG04|216|16:00|24|GcKaKkMcSh                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A223 |NA223 |AUG05|217|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|MARS-9    |MARS09|AUG11|223|00:30|5 |HoKk                         |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|IRIS-S117 |IS117 |AUG11|223|12:00|24|GcHhWfWz                     |BONN|BONN|       |    | XH |BONN|     |    |
|NEOS-A224 |NA224 |AUG12|224|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-A016 |CA016 |AUG12|224|18:00|24|GcHhHoMaWf                   |NASA|HAYS|       |    | XA |NASA|     |    |
|MARS-10   |MARS10|AUG14|226|00:30|6 |HoKk                         |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|NEOS-A225 |NA225 |AUG19|231|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B105 |CB105 |AUG20|232|18:30|24|ApGcKaNyOnUr                 |NASA|WASH|       |    | XA |NASA|     |    |
|EUROPE-38 |EURO38|AUG25|237|14:00|24|MaMcNtNyOnWz                 |BONN|BONN|       |    | XA |BONN|     |    |
|JADE-9703 |JD9703|AUG26|238|10:01|24|AiCcKa                       |GSI |GSI |97SEP02|    | XF |GSI |     |    |
