KIRSBERG   51.21   14.29  261.23   -0.06   -0.36   -0.10    0.36    0.15    0.41    0.01    0.07   -0.60    0.16   -0.08    0.04 
KODIAK     57.74  207.50   31.26    0.15    0.27    0.02    0.21   -0.25   -0.45   -0.06   -0.01    0.55   -0.28    0.04   -0.06 
KOGANEI    35.71  139.49  125.38   -0.38    0.52   -0.69   -0.11    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
KOGANEI3   35.71  139.49  114.46   -0.38    0.52   -0.69   -0.11    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
KOKEE      22.13  200.33 1176.60    0.42    0.60    0.41    0.99   -0.03   -0.18   -0.03    0.04    0.57   -0.20   -0.00   -0.03 
KP-VLBA    31.96  248.39 1901.99    0.72    0.50    0.77   -0.32   -0.27   -0.12   -0.02   -0.01    0.16   -0.53    0.01   -0.02 
KWAJAL26    9.40  167.48   57.40   -0.03    0.79   -0.83    0.92    0.05   -0.07   -0.05    0.02    0.58    0.14    0.02   -0.07 
LA-VLBA    35.78  253.75 1962.44    0.72    0.37    0.60   -0.40   -0.29   -0.09   -0.02   -0.02    0.11   -0.55    0.01   -0.03 
LEONRDOK   35.91  264.20  226.27    0.84    0.28    0.43   -0.58   -0.30   -0.03   -0.04   -0.02    0.03   -0.58    0.00   -0.03 
MAMMOTHL   37.64  241.05 2310.39    0.51    0.45    0.65   -0.10   -0.30   -0.16   -0.02   -0.00    0.24   -0.53    0.01   -0.03 
MARCUS     24.29  153.98   41.76   -0.25    0.64   -0.92    0.33    0.12   -0.18   -0.08   -0.00    0.55    0.28    0.06   -0.06 
MARPOINT   38.37  282.77  -13.47    0.72    0.01   -0.01   -0.66   -0.32    0.07   -0.06   -0.02   -0.15   -0.58   -0.01   -0.04 
MATERA     40.65   16.70  543.36   -0.09   -0.56   -0.08    0.57    0.14    0.32    0.01    0.08   -0.59    0.18   -0.10    0.04 
MCD_7850   30.68  255.98 2004.22    0.89    0.40    0.69   -0.52   -0.26   -0.08   -0.02   -0.02    0.09   -0.56    0.01   -0.02 
MEDICINA   44.52   11.65   67.18   -0.05   -0.48   -0.16    0.48    0.12    0.36    0.00    0.07   -0.61    0.14   -0.09    0.03 
METSAHOV   60.22   24.39   75.76   -0.08   -0.20   -0.05    0.21    0.26    0.45    0.04    0.06   -0.56    0.26   -0.07    0.05 
METSHOVI   60.24   24.38   59.63   -0.08   -0.20   -0.05    0.21    0.26    0.45    0.04    0.06   -0.56    0.26   -0.07    0.05 
MIAMI20    25.61  279.62  -11.78    0.81    0.04    0.13   -0.97   -0.21    0.01   -0.05   -0.03   -0.12   -0.58    0.01   -0.04 
MILESMON   46.40  254.14  703.50    0.52    0.31    0.34   -0.26   -0.40   -0.11   -0.04   -0.01    0.12   -0.57   -0.00   -0.04 
MIURA      35.21  139.65  105.16   -0.38    0.53   -0.70   -0.10    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
MIURA_00   35.21  139.65  105.15   -0.38    0.53   -0.70   -0.10    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
MIYAZAKI   32.09  131.48  107.13   -0.50    0.53   -0.71   -0.32    0.24   -0.19   -0.06   -0.05    0.41    0.46    0.10   -0.02 
MIZNAO10   39.13  141.13  110.96   -0.33    0.48   -0.62   -0.07    0.23   -0.27   -0.06   -0.04    0.48    0.40    0.09   -0.03 
MIZUSGSI   39.11  141.20  173.16   -0.32    0.48   -0.62   -0.06    0.23   -0.27   -0.06   -0.04    0.49    0.40    0.09   -0.03 
MK-VLBA    19.80  204.54 3763.05    0.50    0.60    0.57    0.97   -0.04   -0.16   -0.02    0.04    0.56   -0.24   -0.00   -0.02 
MOJAVE12   35.33  243.11  910.22    0.58    0.51    0.71   -0.16   -0.29   -0.14   -0.02   -0.01    0.22   -0.54    0.01   -0.02 
MOJ_7288   35.33  243.11  896.17    0.58    0.51    0.71   -0.16   -0.29   -0.14   -0.02   -0.01    0.22   -0.54    0.01   -0.02 
MON_PEAK   32.89  243.58 1838.75    0.60    0.52    0.78   -0.18   -0.27   -0.14   -0.01   -0.01    0.20   -0.54    0.01   -0.02 
MV2ONSLA   57.40   11.93   43.37   -0.02   -0.22   -0.13    0.26    0.15    0.47    0.02    0.06   -0.61    0.14   -0.08    0.03 
NL-VLBA    41.77  268.43  222.27    0.69    0.19    0.25   -0.51   -0.35   -0.01   -0.04   -0.01   -0.02   -0.58   -0.01   -0.04 
NOBEY_6M   35.94  138.47 1389.57   -0.38    0.52   -0.68   -0.13    0.23   -0.23   -0.06   -0.04    0.47    0.42    0.09   -0.03 
NOME       64.56  194.63  331.66    0.05    0.26   -0.09    0.14   -0.17   -0.53   -0.06   -0.03    0.61   -0.15    0.06   -0.05 
NOTO       36.88   14.99  143.23   -0.09   -0.63   -0.10    0.64    0.12    0.28    0.01    0.08   -0.59    0.16   -0.10    0.03 
NRAO20     38.44  280.17  806.61    0.71    0.05    0.05   -0.66   -0.32    0.05   -0.05   -0.02   -0.13   -0.57   -0.01   -0.04 
NRAO85_1   38.44  280.17  807.68    0.71    0.05    0.05   -0.66   -0.32    0.05   -0.05   -0.02   -0.13   -0.57   -0.01   -0.04 
NRAO85_3   38.43  280.16  785.85    0.71    0.05    0.05   -0.66   -0.32    0.05   -0.05   -0.02   -0.13   -0.57   -0.01   -0.04 
NRAO_140   38.44  280.16  812.52    0.71    0.05    0.05   -0.66   -0.32    0.05   -0.05   -0.02   -0.13   -0.57   -0.01   -0.04 
NYALES20   78.93   11.87   87.28    0.04    0.04   -0.14    0.03    0.17    0.60    0.04    0.05   -0.63    0.12   -0.07    0.04 
