This file was produced by gsnoop                                                                                                 
Using spoolfile:  /500/solutions/2015a_astro/Dec-18/2015a_astro_minus3.spl                                                       
                                                                                                                                 
 VLBI source positions for epoch  51544.5 MJD                                                                                    
                                                                                                                                 
source name      |Right  Ascension |  Declination    |  Uncertainties     | cor  | mean  | first | last  |  observations         
IAU name|IVS name|Hr|Mn|  Seconds  |Deg|Mn| Seconds  |  Unc RA  |Unc Dec  |Ra-Dc |  MJD  |  MJD  |  MJD  |sess |delay |rates     
        |        |  |  |           |   |  |          |          |         |      |       |       |      |     |      |           
0        0021+243 00 24 27.33054685  24 39 26.2296021 0.00000917 0.0001643 -.0207 52670.8 52409.7 53307.8    11    115      0 GLO
0        0022-423 00 24 42.98975578 -42 02  3.9476658 0.00004540 0.0008770 -.5883 51539.0 48162.4 53131.8     8     38      0 GLO
0        0022-044 00 24 45.98321425 -04 12  1.5488392 0.00000816 0.0002785 -.1997 52474.1 50576.2 56662.4     2     93      0 GLO
0        0022-227 00 25 24.24740504 -22 27 47.5964340 0.00000717 0.0002406 0.4097 55427.7 54088.1 56879.0     2    150      0 GLO
0        0022+390 00 25 26.15768514  39 19 35.4392153 0.00000803 0.0001591 -.4462 51647.1 50242.8 56662.4     2     96      0 GLO
0        0023-263 00 25 49.15629592 -26 02 12.6144585 0.00002121 0.0006062 0.4230 55140.9 52409.7 56879.0     2     72      0 GLO
0        0023-354 00 26 16.38706790 -35 12 48.7935619 0.00002211 0.0006684 0.7617 56879.0 56879.0 56879.0     1     42      0 GLO
0        OB338    00 26 41.72489157  35 08 42.2694635 0.00007097 0.0011943 -.4187 53441.1 50219.8 56662.4     2     24      0 GLO
0        0024-114 00 26 51.44309185 -11 12 52.4260183 0.00003293 0.0008503 0.1657 55529.5 53552.8 57012.1     2     70      0 GLO
0        0024+597 00 27  3.28622619  59 58 52.9594802 0.00002377 0.0001560 -.0117 53224.4 49577.0 56662.4     3     66      0 GLO
0        0024+092 00 27  5.79368057  09 29 57.7634136 0.00000892 0.0001980 0.2631 55598.8 52306.7 56879.0     2    100      0 GLO
0        0024+224 00 27 15.37154617  22 41 58.0687071 0.00002461 0.0003735 -.0422 50621.1 50085.5 54664.7     3    120      0 GLO
0        0025+197 00 28 29.81848421  20 00 26.7439278 0.00000109 0.0000217 -.0202 56038.9 50085.5 57311.8    81   2688      0 GLO
0        0026-015 00 29  0.98604244 -01 13 41.7597416 0.00001131 0.0003428 0.0520 54733.5 53126.1 56662.4     2     66      0 GLO
0        0026+048 00 29  3.59224640  05 09 34.8675418 0.00001531 0.0003512 -.0908 54504.8 49914.7 56879.0     2     88      0 GLO
0        0026+346 00 29 14.24247487  34 56 32.2471399 0.00002132 0.0002636 0.3806 49639.6 47011.4 57325.8    15    239      0 GLO
0        0027+056 00 29 45.89630473  05 54 40.7124356 0.00001029 0.0002407 -.2369 50645.2 49914.7 54643.7     2    123      0 GLO
0        0027+703 00 30 14.41294739  70 37 40.0609800 0.00001922 0.0000938 0.1979 52513.8 49827.5 56879.0     2    189      0 GLO
0        0027-426 00 30 17.49259894 -42 24 46.4813913 0.00001641 0.0005808 -.1358 54943.7 54943.7 54943.7     1     36      0 GLO
0        0027-024 00 30 31.82374648 -02 11 56.1332810 0.00000504 0.0001617 0.1789 55027.0 53126.1 56818.4     3    140      0 GLO
0        0028-396 00 31 24.33162497 -39 22 49.3715342 0.00009273 0.0032343 -.8570 55443.0 52306.7 56162.7     3     21      0 GLO
0        0029-147 00 31 56.41180563 -14 26 19.3437295 0.00001111 0.0003253 -.4383 55807.1 53126.1 57012.1     3    116      0 GLO
0        0030+196 00 32 38.33888648  19 53 53.7789750 0.00021184 0.0043531 0.3534 56809.7 56809.7 56809.7     1      9      0 GLO
0        0032+276 00 34 43.48609496  27 54 25.7207792 0.00000636 0.0001393 -.0720 54218.8 50219.8 56809.7     3    140      0 GLO
0        0032-011 00 34 43.92197403 -00 54 13.0353837 0.00000902 0.0002690 0.3840 56818.4 56818.4 56818.4     1     72      0 GLO
0        0032+612 00 35 25.31063020  61 30 30.7612245 0.00003657 0.0002912 0.2523 53463.4 52620.7 53552.8     2     73      0 GLO
0        0033+143 00 35 44.08790483  14 38  1.9725284 0.00000506 0.0001507 -.0290 55859.0 54112.8 56809.7     2    139      0 GLO
0        0033-088 00 35 46.25039492 -08 35 54.0427678 0.00000625 0.0002181 -.1594 55517.0 53523.9 55657.7     2     91      0 GLO
0        0033+142 00 36 35.10911397  14 34  3.6188317 0.00000910 0.0002158 -.2058 55321.5 52409.7 56809.7     2    136      0 GLO
