MAMMOTHL   37.64  241.05 2310.39    0.33    0.38    0.73   -0.12   -0.18   -0.07   -0.15    0.02    0.15   -0.31   -0.05   -0.23 
MARCUS     24.29  153.98   41.76   -0.15    0.45   -0.99    0.34    0.06   -0.10    0.03   -0.03    0.32    0.15    0.11    0.20 
MARPOINT   38.37  282.77  -13.47    0.52    0.08   -0.04   -0.77   -0.19    0.04   -0.04    0.12   -0.08   -0.35   -0.23   -0.00 
MATERA     40.65   16.70  543.36   -0.03   -0.41   -0.04    0.70    0.08    0.22   -0.04   -0.08   -0.37    0.10    0.15   -0.03 
MCD_7850   30.68  255.98 2004.22    0.68    0.37    0.77   -0.61   -0.15   -0.03   -0.12    0.06    0.06   -0.31   -0.15   -0.19 
MEDICINA   44.52   11.65   67.18    0.00   -0.32   -0.14    0.60    0.07    0.25   -0.02   -0.09   -0.38    0.06    0.15    0.01 
METSAHOV   60.22   24.39   75.76   -0.04   -0.09   -0.01    0.27    0.16    0.32   -0.04   -0.08   -0.35    0.15    0.10   -0.04 
METSHOVI   60.24   24.38   59.63   -0.04   -0.09   -0.01    0.27    0.16    0.32   -0.04   -0.08   -0.35    0.15    0.10   -0.04 
MIAMI20    25.61  279.62  -11.78    0.60    0.11    0.12   -1.11   -0.12   -0.00   -0.06    0.09   -0.07   -0.34   -0.24   -0.03 
MILESMON   46.40  254.14  703.50    0.36    0.27    0.39   -0.31   -0.24   -0.05   -0.14    0.08    0.08   -0.33   -0.12   -0.18 
MIURA      35.21  139.65  105.16   -0.25    0.38   -0.74   -0.15    0.11   -0.14    0.07    0.00    0.29    0.25   -0.01    0.20 
MIURA_00   35.21  139.65  105.15   -0.25    0.38   -0.74   -0.15    0.11   -0.14    0.07    0.00    0.29    0.25   -0.01    0.20 
MIYAZAKI   32.09  131.48  107.13   -0.34    0.41   -0.76   -0.42    0.13   -0.12    0.05    0.03    0.25    0.29   -0.06    0.19 
MIZNAO10   39.13  141.13  110.96   -0.21    0.35   -0.64   -0.10    0.12   -0.16    0.08    0.00    0.29    0.25    0.00    0.19 
MIZUSGSI   39.11  141.20  173.16   -0.21    0.35   -0.64   -0.10    0.12   -0.16    0.08    0.00    0.29    0.25    0.00    0.19 
MK-VLBA    19.80  204.54 3763.05    0.37    0.37    0.63    1.10   -0.00   -0.05   -0.06   -0.06    0.34   -0.15    0.21   -0.13 
MOJAVE12   35.33  243.11  910.22    0.38    0.42    0.80   -0.19   -0.16   -0.05   -0.14    0.03    0.13   -0.31   -0.06   -0.23 
