$$ VTRF2005
$$
$$ Due to a transient post-quake behaviour of GILCREEK, this station is treated
$$ in a different way then the others !!!
$$ The position of GILCREEK is modeled to be piece-wise linear. For this
$$ reason only the coordinates of the reference epoch of the first "leg" 
$$ (1979.0.101. - 2002.11.02) are referred to 1997.0.
$$ The coordinates of each start of the linear "legs" are referred to the 
$$ respective epoch!!
$$ Coordinates of an arbitrary observing epoch can, thus, be computed 
$$ using the respective period with its coordinates at the reference epoch 
$$ and the respective velocity.
$$ 
$$ changed the line MIURA_00 added the date please recheck, Jörg Wresnik
$$  
$$            X/Vx           Y/Vy          Z/Vz               Sigmas
               -0.0101        0.0641        0.0316   0.0020   0.0010   0.0011
HATCREEK -2523970.0412 -4123506.3223  4147752.5483   0.0046   0.0048   0.0071
               -0.0202        0.0052       -0.0057   0.0009   0.0007   0.0011
HAYSTACK  1492404.7364 -4457266.5229  4296881.7791   0.0069   0.0079   0.0067
               -0.0153       -0.0016        0.0038   0.0013   0.0015   0.0012
HN-VLBA   1446375.1124 -4447939.6568  4322306.1185   0.0006   0.0012   0.0018
               -0.0155       -0.0013        0.0027   0.0001   0.0002   0.0003
HOFN      2679650.2571  -727916.4409  5722807.2553   0.0204   0.0209   0.0193
               -0.0066        0.0148        0.0130   0.0042   0.0044   0.0029
HOHENFRG  3778214.7049   698644.6272  5074053.6946   0.0240   0.0287   0.0187
               -0.0338       -0.0030        0.0197   0.0042   0.0051   0.0032
HOHNBERG  4213687.2381   820422.9604  4702784.2467   0.0208   0.0212   0.0204
               -0.0102        0.0193        0.0061   0.0038   0.0044   0.0036
HRAS_085 -1324210.9949 -5332023.1353  3232118.3464   0.0119   0.0250   0.0063
               -0.0125        0.0016       -0.0076   0.0022   0.0046   0.0012
JPL_MV1  -2493306.2171 -4655197.4779  3565519.4565   0.0299   0.0546   0.0409
               -0.0324        0.0173        0.0092   0.0048   0.0088   0.0066
KAINAN   -3751040.4312  3721052.3055  3560816.7534   0.0218   0.0228   0.0219
               -0.0206       -0.0083       -0.0118   0.0040   0.0041   0.0041
KANOZAN  -3991747.4465  3355061.8032  3661225.3461   0.0182   0.0182   0.0182
               -0.0004        0.0061       -0.0102   0.0036   0.0038   0.0037
KARLBURG  3653204.3405   884427.6139  5135732.0735   0.0229   0.0213   0.0246
                0.0061        0.0237       -0.0099   0.0042   0.0045   0.0038
KASHIM11 -3997505.6676  3276878.3988  3724240.7134   0.0025   0.0022   0.0026
               -0.0009        0.0062       -0.0088   0.0005   0.0004   0.0005
KASHIM34 -3997649.2253  3276690.7549  3724278.8295   0.0034   0.0034   0.0027
               -0.0007        0.0059       -0.0089   0.0007   0.0006   0.0005
KASHIMA  -3997892.2699  3276581.2797  3724118.2344   0.0019   0.0016   0.0016
               -0.0017        0.0060       -0.0103   0.0003   0.0004   0.0003
KAUAI    -5543846.0626 -2054563.6362  2387814.1140   0.0008   0.0033   0.0028
               -0.0099        0.0642        0.0311   0.0002   0.0006   0.0006
KIRSBERG  3879830.8620   987963.3081  4948713.2745   0.0208   0.0210   0.0205
                0.0173        0.0123       -0.0177   0.0039   0.0044   0.0035
KODIAK   -3026940.2999 -1575911.7800  5370362.4960   0.0365   0.0235   0.0623
               -0.0206        0.0029       -0.0011   0.0062   0.0041   0.0107
KOGANEI  -3941937.4445  3368150.9027  3702235.3092   0.0030   0.0026   0.0029
               -0.0030        0.0047       -0.0051   0.0007   0.0006   0.0007
KOGANEI3 -3942077.3793  3368332.1130  3701904.8318   0.0110   0.0110   0.0102
               -0.0031        0.0047       -0.0050   0.0015   0.0015   0.0014
KP-VLBA  -1995678.6284 -5037317.7127  3357328.1251   0.0005   0.0012   0.0012
               -0.0137        0.0006       -0.0081   0.0001   0.0001   0.0002
KWAJAL26 -6143536.3200  1363997.7998  1034707.6725   0.0606   0.0176   0.0245
                0.0193        0.0702        0.0264   0.0097   0.0028   0.0040
LA-VLBA  -1449752.3611 -4975298.5898  3709123.9235   0.0004   0.0010   0.0013
               -0.0143        0.0009       -0.0067   0.0001   0.0001   0.0002
LEONRDOK  -522231.6295 -5145676.8757  3720152.3458   0.0342   0.0294   0.0310
               -0.0126        0.0017       -0.0041   0.0057   0.0044   0.0049
MAMMOTHL -2448246.8046 -4426738.1311  3875435.7695   0.1005   0.1784   0.1468
               -0.0132        0.0218       -0.0155   0.0157   0.0279   0.0229
MARCUS   -5227446.4749  2551379.6850  2607604.9892   0.0572   0.0483   0.0220
                0.0442        0.0584        0.0229   0.0119   0.0101   0.0048
MARPOINT  1106629.2967 -4882907.1737  3938086.9703   0.0303   0.0043   0.0016
               -0.0044        0.0002        0.0001   0.0087   0.0004   0.0002
MCD_7850 -1330008.1914 -5328391.5863  3236502.7075   0.0303   0.0206   0.0275
               -0.0127       -0.0001       -0.0062   0.0052   0.0033   0.0047
MEDICINA  4461369.9808   919596.8226  4449559.2028   0.0010   0.0014   0.0011
               -0.0185        0.0192        0.0097   0.0002   0.0003   0.0002
MEDICI96  4461369.9851   919596.8210  4449559.2097   0.0004   0.0003   0.0005  960601
               -0.0184        0.0192        0.0098   0.0001   0.0001   0.0001
METSAHOV  2892583.2660  1311714.4837  5512636.3943   1.7221   1.7155   1.7264
               -0.0140        0.0243        0.0174   0.3848   0.3835   0.3854
METSHOVI  2890652.7519  1310295.3388  5513958.7423   0.0298   0.0290   0.0270
               -0.0163        0.0149        0.0093   0.0050   0.0051   0.0039
MIAMI20    961255.3295 -5674092.5954  2740533.7922   0.0012   0.0006   0.0019
               -0.0099       -0.0007        0.0010   0.0003   0.0002   0.0002
MILESMON -1204439.0689 -4239211.1042  4596266.0192   0.0334   0.0424   0.0413
               -0.0142       -0.0005       -0.0070   0.0056   0.0061   0.0059
MIURA    -3976129.9630  3377927.8799  3656753.8525   0.0036   0.0031   0.0034  
                0.0099        0.0048        0.0035   0.0008   0.0007   0.0008
MIURA_00 -3976129.9617  3377927.8637  3656753.8588   0.0043   0.0037   0.0040  000701
                0.0099        0.0048        0.0035   0.0009   0.0008   0.0009
MIYAZAKI -3582767.9354  4052033.9533  3369020.4688   0.1137   0.0762   0.1166
               -0.0128       -0.0039       -0.0178   0.0263   0.0174   0.0270
MIZNAO10 -3857236.1058  3108803.2179  4003883.0823   0.0090   0.0104   0.0077
                0.0032        0.0019       -0.0031   0.0030   0.0029   0.0025
MIZUSGSI -3862411.8831  3105015.0276  4001944.8710   0.0059   0.0051   0.0063
                0.0054        0.0039       -0.0053   0.0009   0.0008   0.0009
MK-VLBA  -5464074.9636 -2495249.1169  2148296.8444   0.0005   0.0011   0.0006
               -0.0143        0.0626        0.0301   0.0001   0.0002   0.0002
MOJ_7288 -2356494.1724 -4646607.6481  3668426.6085   0.0062   0.0113   0.0085
               -0.0148        0.0071       -0.0057   0.0009   0.0015   0.0012
MOJAVE12 -2356171.0553 -4646755.8494  3668470.5897   0.0024   0.0016   0.0012
               -0.0149        0.0073       -0.0059   0.0004   0.0002   0.0001
MOJAVE92 -2356171.0735 -4646755.8551  3668470.5814   0.0020   0.0020   0.0015  920627
               -0.0152        0.0073       -0.0055   0.0002   0.0002   0.0004
MON_PEAK -2386289.6283 -4802346.3181  3444884.0728   0.0141   0.0288   0.0207
               -0.0324        0.0309        0.0077   0.0023   0.0047   0.0034
MV2ONSLA  3370641.9518   711866.1153  5349796.1674   0.0079   0.0032   0.0123
               -0.0143        0.0147        0.0093   0.0011   0.0005   0.0016
NL-VLBA   -130872.2570 -4762317.1180  4226851.0361   0.0003   0.0015   0.0018
               -0.0154        0.0012       -0.0036   0.0001   0.0002   0.0003
NOBEY_6M -3871168.2896  3428273.9997  3723697.6009   0.0227   0.0230   0.0222
               -0.0041        0.0077       -0.0103   0.0039   0.0041   0.0039
NOME     -2658150.6239  -693821.9901  5737236.6011   0.0347   0.0146   0.0659
               -0.0279       -0.0084       -0.0033   0.0058   0.0025   0.0108
NOTO      4934563.1188  1321201.2590  3806484.4943   0.0011   0.0004   0.0004
               -0.0179        0.0178        0.0142   0.0002   0.0001   0.0001
NRAO_140   882879.8836 -4924482.3030  3944130.6834   0.0010   0.0043   0.0053
               -0.0148       -0.0001        0.0001   0.0001   0.0005   0.0007
NRAO20     883772.7454 -4924385.5928  3944042.4906   0.0004   0.0010   0.0016
               -0.0143       -0.0025        0.0026   0.0001   0.0002   0.0003
NRAO85_1   883555.5467 -4924490.8860  3943961.9653   0.0023   0.0050   0.0043
               -0.0148        0.0000        0.0002   0.0005   0.0008   0.0008
NRAO85_3   882325.5580 -4925137.9916  3943397.6806   0.0003   0.0004   0.0006
               -0.0154        0.0004       -0.0002   0.0001   0.0001   0.0001
OCOTILLO -2335601.3759 -4832244.0104  3434392.7864   0.0459   0.0544   0.0491
               -0.0289        0.0239        0.0146   0.0068   0.0074   0.0070
OHIGGINS  1525833.0185 -2432463.6555 -5676174.4849   0.0022   0.0039   0.0045
                0.0177       -0.0002       -0.0003   0.0003   0.0006   0.0007
ONSALA60  3370606.0248   711917.4833  5349830.7418   0.0012   0.0005   0.0013
               -0.0140        0.0148        0.0093   0.0002   0.0001   0.0002
ONSALA85  3370966.1216   711465.9557  5349664.0244   0.0109   0.0034   0.0165
               -0.0143        0.0147        0.0093   0.0015   0.0006   0.0022
OV-VLBA  -2409150.1146 -4478573.2311  3838617.3957   0.0007   0.0013   0.0013
               -0.0183        0.0071       -0.0055   0.0002   0.0002   0.0003
OVR_7853 -2410421.3094 -4477800.3645  3838690.3014   0.0067   0.0118   0.0097
               -0.0170        0.0075       -0.0056   0.0010   0.0017   0.0015
OVRO_130 -2409600.8388 -4478349.5016  3838603.1924   0.0044   0.0013   0.0017
               -0.0170        0.0079       -0.0058   0.0007   0.0003   0.0003
PARKES   -4554232.0083  2816758.9711 -3454035.8453   0.0149   0.0100   0.0120
               -0.0349       -0.0034        0.0464   0.0032   0.0021   0.0025
PBLOSSOM -2464071.0003 -4649425.3854  3593905.6677   0.0420   0.0771   0.0576
               -0.0168        0.0295       -0.0064   0.0067   0.0122   0.0091
PENTICTN -2058840.5443 -3621286.5328  4814420.8425   0.0347   0.0561   0.0728
               -0.0219       -0.0135        0.0073   0.0060   0.0098   0.0126
PIETOWN  -1640953.7123 -5014816.0237  3575411.8745   0.0007   0.0010   0.0012
               -0.0155       -0.0004       -0.0081   0.0001   0.0001   0.0002
PINFLATS -2369636.0972 -4761324.8008  3511116.2164   0.0252   0.0485   0.0368
               -0.0246        0.0154        0.0050   0.0041   0.0079   0.0060
PLATTVIL -1240708.2186 -4720454.4002  4094481.6330   0.0109   0.0323   0.0273
               -0.0168       -0.0032       -0.0056   0.0018   0.0054   0.0045
PRESIDIO -2707704.9845 -4257609.3793  3888374.2339   0.0306   0.0479   0.0423
               -0.0202        0.0275        0.0033   0.0051   0.0079   0.0070
PRESID89 -2707704.9743 -4257609.3731  3888374.2175   0.0235   0.0365   0.0327  891001
               -0.0202        0.0275        0.0033   0.0044   0.0068   0.0061
PT_REYES -2732333.2948 -4217634.7391  3914491.2926   0.0225   0.0337   0.0317
               -0.0289        0.0201        0.0244   0.0039   0.0058   0.0055
PVERDES  -2525452.9646 -4670035.3922  3522886.8465   0.0386   0.0690   0.0522
               -0.0259        0.0350        0.0057   0.0066   0.0119   0.0090
QUINCY   -2517230.9989 -4198595.1574  4076531.2296   0.0171   0.0277   0.0261
               -0.0195        0.0096       -0.0084   0.0029   0.0046   0.0044
RICHMOND   961258.0525 -5674090.0543  2740533.8061   0.0013   0.0018   0.0008
               -0.0098       -0.0005        0.0008   0.0002   0.0004   0.0002
ROBLED32  4849245.2256  -360278.1557  4114884.5935   0.0528   0.0109   0.0442
               -0.0077        0.0192        0.0137   0.0069   0.0015   0.0058
SAGARA   -3913437.8245  3501122.8127  3608593.5378   0.0220   0.0205   0.0222
               -0.0113        0.0016       -0.0125   0.0040   0.0040   0.0041
SANPAULA -2554476.9171 -4608627.2346  3582138.4531   0.0371   0.0658   0.0500
               -0.0352        0.0191        0.0141   0.0063   0.0112   0.0085
SANTIA12  1769693.1135 -5044504.5279 -3468434.9635   0.0019   0.0024   0.0016
                0.0230       -0.0055        0.0104   0.0004   0.0005   0.0004
SC-VLBA   2607848.5195 -5488069.6897  1932739.5364   0.0006   0.0015   0.0013
                0.0073        0.0102        0.0104   0.0001   0.0002   0.0002
SEATTLE1 -2295347.9915 -3638029.3631  4693408.4979   0.0741   0.4803   0.4795
               -0.0071        0.0150       -0.0262   0.0135   0.0903   0.0900
SEST      1838237.8844 -5258699.2643 -3100588.7480   0.0239   0.0213   0.0239
               -0.0007       -0.0043        0.0079   0.0026   0.0023   0.0037
SINTOTU  -3642141.9576  2861496.5469  4370361.6139   0.0136   0.0112   0.0146
               -0.0156       -0.0008       -0.0152   0.0020   0.0017   0.0022
SINTOTU3 -3642142.0659  2861496.6755  4370361.8445   0.0060   0.0050   0.0066
               -0.0156       -0.0008       -0.0152   0.0013   0.0011   0.0014
SNDPOINT -3425462.0248 -1214669.1157  5223858.1649   0.0431   0.0271   0.0654
               -0.0208        0.0032       -0.0112   0.0075   0.0048   0.0115
SOURDOGH -2419993.6787 -1664228.7273  5643538.0912   0.0477   0.0369   0.1096
               -0.0272        0.0030       -0.0205   0.0075   0.0058   0.0173
SOURDO87 -2419993.6634 -1664228.7477  5643538.1361   0.0368   0.0285   0.0842  871201
               -0.0272        0.0030       -0.0205   0.0064   0.0050   0.0147
SUWON    -3062023.9948  4055453.8026  3841809.9751   0.0203   0.0194   0.0193
               -0.0289       -0.0073       -0.0093   0.0041   0.0037   0.0038
SVETLOE   2730173.9651  1562442.5723  5529969.0115   0.0006   0.0015   0.0014
               -0.0197        0.0139        0.0065   0.0002   0.0003   0.0003
SYOWA     1766194.0962  1460410.9202 -5932273.2673   0.0038   0.0035   0.0073
