JPL_MV1     34.21  -118.17   424.10     0.51     0.45     0.90     -0.06    -0.03    -0.03      0.14    -0.30    -0.05     -0.28     0.01     0.02     -0.22    -0.09    -0.16      0.02     0.00     0.01 
KAINAN      34.16   135.23    60.44    -0.30     0.39    -0.79     -0.28    -0.06    -0.06      0.31     0.33    -0.04      0.23    -0.01    -0.03      0.12    -0.14     0.09      0.00    -0.00     0.01 
KANOZAN     35.26   139.95   373.26    -0.25     0.39    -0.81     -0.11    -0.06    -0.05      0.34     0.31    -0.01      0.24    -0.01    -0.03      0.12    -0.16     0.10     -0.02    -0.00     0.01 
KARLBURG    53.98    13.61    77.10    -0.10    -0.26    -0.11      0.34    -0.00    -0.01     -0.45     0.03     0.14      0.02     0.01    -0.00      0.10     0.33     0.00     -0.05    -0.01    -0.02 
KASHIM11    35.96   140.66    62.44    -0.24     0.39    -0.81     -0.08    -0.06    -0.05      0.35     0.31    -0.00      0.24    -0.01    -0.03      0.11    -0.15     0.09     -0.02    -0.00     0.01 
KASHIM34    35.96   140.66    78.42    -0.24     0.39    -0.81     -0.08    -0.06    -0.05      0.35     0.31    -0.00      0.24    -0.01    -0.03      0.11    -0.15     0.09     -0.02    -0.00     0.01 
KASHIMA     35.95   140.66    80.10    -0.24     0.39    -0.81     -0.08    -0.06    -0.05      0.35     0.31    -0.00      0.24    -0.01    -0.03      0.11    -0.15     0.09     -0.02    -0.00     0.01 
KAUAI       22.13  -159.67  1168.32     0.27     0.41     0.47      1.26     0.01    -0.05      0.40    -0.09     0.27     -0.11     0.00     0.01     -0.05    -0.08    -0.04     -0.09     0.00     0.01 
KIRSBERG    51.21    14.29   261.23    -0.12    -0.32    -0.09      0.40     0.00    -0.01     -0.44     0.04     0.15      0.01     0.01    -0.00      0.10     0.32    -0.01     -0.05    -0.01    -0.02 
KODIAK      57.74  -152.50    31.35     0.07     0.18     0.05      0.41    -0.00    -0.02      0.39    -0.13     0.17     -0.13     0.00     0.01     -0.23    -0.31    -0.13     -0.12     0.01     0.02 
KOGANEI     35.71   139.49   125.39    -0.40     0.99    -1.50     -0.13    -0.17    -0.14      0.36     0.24     0.07      0.24     0.01    -0.02      0.06     0.05    -0.15     -0.02    -0.04    -0.02 
KOGANEI3    35.71   139.49   114.46    -0.42     1.08    -1.61     -0.14    -0.19    -0.15      0.36     0.22     0.10      0.24     0.01    -0.01      0.06     0.07    -0.17     -0.02    -0.05    -0.02 
KOKEE       22.13  -159.67  1176.60     0.27     0.41     0.47      1.26     0.01    -0.05      0.40    -0.09     0.27     -0.11     0.00     0.01     -0.05    -0.08    -0.04     -0.09     0.00     0.01 
KP-VLBA     31.96  -111.61  1901.99     0.68     0.45     0.95     -0.32    -0.03    -0.03      0.10    -0.30    -0.10     -0.27     0.01     0.02     -0.21    -0.07    -0.13      0.04     0.00     0.01 
KWAJAL26     9.40   167.48    57.41     0.06     0.56    -1.09      1.19    -0.02     0.01      0.41     0.11     0.20      0.18    -0.02    -0.01      0.00    -0.04     0.06     -0.08     0.00     0.00 
LA-VLBA     35.78  -106.25  1962.43     0.72     0.34     0.75     -0.45    -0.03    -0.02      0.09    -0.32    -0.13     -0.25     0.01     0.02     -0.21    -0.06    -0.14      0.06     0.00     0.01 
LEONRDOK    35.91   -95.80   226.27     0.78     0.31     0.54     -0.72    -0.03    -0.01      0.02    -0.36    -0.20     -0.19     0.01     0.01     -0.22    -0.03    -0.11      0.10     0.00     0.01 
MADRID64    40.43    -4.25   864.81    -0.02    -0.40    -0.54      0.59     0.03     0.01     -0.47    -0.10     0.14      0.11     0.01     0.01     -0.01     0.23     0.05     -0.04    -0.00    -0.01 
MAMMOTHL    37.64  -118.95  2310.70     0.48     0.40     0.78     -0.02    -0.03    -0.03      0.14    -0.30    -0.04     -0.27     0.01     0.02     -0.24    -0.10    -0.17      0.02     0.00     0.01 
MARCUS      24.29   153.98    41.78    -0.12     0.43    -1.06      0.41    -0.06     0.00      0.39     0.21     0.10      0.24    -0.01    -0.02      0.05    -0.10     0.06     -0.05    -0.00     0.01 
MARPOINT    38.37   -77.23   -13.38     0.58     0.13    -0.03     -0.82    -0.00     0.04     -0.09    -0.40    -0.26     -0.07     0.01     0.02     -0.26     0.02    -0.04      0.14     0.00     0.00 
