% Comment the tides you do not(!) want to estimate in the global solution with %
%
% tide  Multipliers of fundamental arguments
% name  GMST+pi, l, l', F, D, OM,   Num 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
term,   2,  0, -1, -2, -2, -2,    100
term,   2, -2,  1, -2,  0, -2,    101
term,   2,  0,  0, -2, -2, -1,    102
mu2 ,   2,  0,  0, -2, -2, -2,    103
term,   2,  0,  1, -2, -2, -2,    104
term,   2,  2,  0, -2, -4, -2,    105
term,   2, -3,  0, -2,  2, -2,    106
term,   2, -1, -1, -2,  0, -2,    107
term,   2,  1,  0, -4,  0, -2,    108
term,   2, -1,  0, -2,  0, -1,    109
N2  ,   2, -1,  0, -2,  0, -2,    110
term,   2,  1, -1, -2, -2, -2,    111
term,   2,  0,  0, -2, -1, -2,    112
term,   2, -1,  1, -2,  0, -2,    113
term,   2,  1,  0, -2, -2, -1,    114
nu2 ,   2,  1,  0, -2, -2, -2,    115
term,   2,  1,  1, -2, -2, -2,    116
term,   2,  0,  0, -4,  2, -2,    117
term,   2, -2,  0, -2,  2, -2,    118
term,   2,  0, -1, -2,  0, -2,    119
term,   2,  0,  0, -2,  0,  0,    120
term,   2,  0,  0, -2,  0, -1,    121
M2  ,   2,  0,  0, -2,  0, -2,    122
term,   2, -2,  0,  0,  0,  0,    123
term,   2,  0,  1, -2,  0, -2,    124
term,   2,  2,  0, -2, -2, -2,    125
term,   2,  0,  0,  0, -2,  0,    126
term,   2,  0,  0,  0, -2, -1,    127
term,   2, -1, -1, -2,  2, -2,    128
term,   2, -1,  0, -2,  2, -1,    129
lam2,   2, -1,  0, -2,  2, -2,    130
term,   2,  1,  0, -2,  0, -1,    131
L2  ,   2,  1,  0, -2,  0, -2,    132
term,   2, -1,  0,  0,  0,  0,    133
term,   2, -1,  0,  0,  0, -1,    134
term,   2, -1,  0,  0,  0, -2,    135
term,   2,  1,  0,  0, -2,  0,    136
term,   2,  1,  0,  0, -2, -1,    137
term,   2,  0, -2, -2,  2, -2,    138
T2  ,   2,  0, -1, -2,  2, -2,    139
term,   2,  0,  0, -2,  2, -1,    140
S2  ,   2,  0,  0, -2,  2, -2,    141
R2  ,   2,  0,  1, -2,  2, -2,    142
term,   2,  0, -1,  0,  0,  0,    143
term,   2,  0,  0,  0,  0,  1,    144
K2  ,   2,  0,  0,  0,  0,  0,    145
term,   2,  0,  0,  0,  0, -1,    146
term,   2,  0,  0,  0,  0, -2,    147
term,   2,  0,  1,  0,  0,  0,    148
term,   2,  0,  0,  2, -2,  2,    149
zet2,   2, -1,  0,  0,  2,  0,    150
term,   2, -1,  0,  0,  2, -1,    151
eta2,   2,  1,  0,  0,  0,  0,    152
term,   2,  1,  0,  0,  0, -1,    153
term,   2,  1,  0,  0,  0, -2,    154
term,   2,  0,  0,  0,  2,  0,    155
term,   2,  0,  0,  0,  2, -1,    156
term,   2,  2,  0,  0,  0,  0,    157
term,   2,  0,  0,  2,  0,  2,    158
term,   2,  0,  0,  2,  0,  1,    159
term,   2,  0,  0,  2,  0,  0,    160
term,   2,  1,  0,  2,  0,  2,    161
term,   2,  1,  0,  2,  0,  1,    162
zero,   2, -4,  0, -2,  2, -2,    163
zero,   2,  0,  1,  0, -2,  0,    164
zero,   2,  0,  0,  0,  2, -2,    165
M3  ,   3,  0,  0, -3,  0, -3,    166
